Number,Code,Sample,CLDR Short Name,Keywords
1239,U+1F6B9,,men's room,lavatory | man | men's room | restroom | wc
1240,U+1F6BA,,women's room,lavatory | restroom | wc | woman | women's room
1241,U+1F6BB,,restroom,lavatory | restroom | WC
1242,U+1F6BC,,baby symbol,baby | baby symbol | changing
1243,U+1F6BE,,water closet,closet | lavatory | restroom | water | wc
1244,U+1F6C2,,passport control,control | passport
1245,U+1F6C3,,customs,customs
1246,U+1F6C4,,baggage claim,baggage | claim
1247,U+1F6C5,,left luggage,baggage | left luggage | locker | luggage
1248,U+26A0,,warning,warning
1249,U+1F6B8,,children crossing,child | children crossing | crossing | pedestrian | traffic
1250,U+26D4,,no entry,entry | forbidden | no | not | prohibited | traffic
1251,U+1F6AB,,prohibited,entry | forbidden | no | not | prohibited
1252,U+1F6B3,,no bicycles,bicycle | bike | forbidden | no | no bicycles | prohibited
1253,U+1F6AD,,no smoking,forbidden | no | not | prohibited | smoking
1254,U+1F6AF,,no littering,forbidden | litter | no | no littering | not | prohibited
1255,U+1F6B1,,non-potable water,non-drinking | non-potable | water
1256,U+1F6B7,,no pedestrians,forbidden | no | no pedestrians | not | pedestrian | prohibited
1257,U+1F4F5,,no mobile phones,cell | forbidden | mobile | no | no mobile phones | phone
1258,U+1F51E,,no one under eighteen,18 | age restriction | eighteen | no one under eighteen | prohibited | underage
1259,U+2622,,radioactive,radioactive | sign
1260,U+2623,,biohazard,biohazard | sign
1261,U+2B06,,up arrow,arrow | cardinal | direction | north | up arrow
1262,U+2197,,up-right arrow,arrow | direction | intercardinal | northeast | up-right arrow
1263,U+27A1,,right arrow,arrow | cardinal | direction | east | right arrow
1264,U+2198,,down-right arrow,arrow | direction | down-right arrow | intercardinal | southeast
1265,U+2B07,,down arrow,arrow | cardinal | direction | down | south
1266,U+2199,,down-left arrow,arrow | direction | down-left arrow | intercardinal | southwest
1267,U+2B05,,left arrow,arrow | cardinal | direction | left arrow | west
1268,U+2196,,up-left arrow,arrow | direction | intercardinal | northwest | up-left arrow
1269,U+2195,,up-down arrow,arrow | up-down arrow
1270,U+2194,,left-right arrow,arrow | left-right arrow
1271,U+21A9,,right arrow curving left,arrow | right arrow curving left
1272,U+21AA,,left arrow curving right,arrow | left arrow curving right
1273,U+2934,,right arrow curving up,arrow | right arrow curving up
1274,U+2935,,right arrow curving down,arrow | down | right arrow curving down
1275,U+1F503,,clockwise vertical arrows,arrow | clockwise | clockwise vertical arrows | reload
1276,U+1F504,,counterclockwise arrows button,anticlockwise | arrow | counterclockwise | counterclockwise arrows button | withershins
1277,U+1F519,,BACK arrow,arrow | back | BACK arrow
1278,U+1F51A,,END arrow,arrow | end | END arrow
1279,U+1F51B,,ON! arrow,arrow | mark | on | ON! arrow
1280,U+1F51C,,SOON arrow,arrow | soon | SOON arrow
1281,U+1F51D,,TOP arrow,arrow | top | TOP arrow | up
1282,U+1F6D0,,place of worship,place of worship | religion | worship
1283,U+269B,,atom symbol,atheist | atom | atom symbol
1284,U+1F549,,om,Hindu | om | religion
1285,U+2721,,star of David,David | Jew | Jewish | religion | star | star of David
1286,U+2638,,wheel of dharma,Buddhist | dharma | religion | wheel | wheel of dharma
1287,U+262F,,yin yang,religion | tao | taoist | yang | yin
1288,U+271D,,latin cross,Christian | cross | latin cross | religion
1289,U+2626,,orthodox cross,Christian | cross | orthodox cross | religion
1290,U+262A,,star and crescent,islam | Muslim | religion | star and crescent
1291,U+262E,,peace symbol,peace | peace symbol
1292,U+1F54E,,menorah,candelabrum | candlestick | menorah | religion
1293,U+1F52F,,dotted six-pointed star,dotted six-pointed star | fortune | star
1294,U+2648,,Aries,Aries | ram | zodiac
1295,U+2649,,Taurus,bull | ox | Taurus | zodiac
1296,U+264A,,Gemini,Gemini | twins | zodiac
1297,U+264B,,Cancer,Cancer | crab | zodiac
1298,U+264C,,Leo,Leo | lion | zodiac
1299,U+264D,,Virgo,Virgo | zodiac
1300,U+264E,,Libra,balance | justice | Libra | scales | zodiac
1301,U+264F,,Scorpio,Scorpio | scorpion | scorpius | zodiac
1302,U+2650,,Sagittarius,archer | Sagittarius | zodiac
1303,U+2651,,Capricorn,Capricorn | goat | zodiac
1304,U+2652,,Aquarius,Aquarius | bearer | water | zodiac
1305,U+2653,,Pisces,fish | Pisces | zodiac
1306,U+26CE,,Ophiuchus,bearer | Ophiuchus | serpent | snake | zodiac
1307,U+1F500,,shuffle tracks button,arrow | crossed | shuffle tracks button
1308,U+1F501,,repeat button,arrow | clockwise | repeat | repeat button
1309,U+1F502,,repeat single button,arrow | clockwise | once | repeat single button
1310,U+25B6,,play button,arrow | play | play button | right | triangle
1311,U+23E9,,fast-forward button,arrow | double | fast | fast-forward button | forward
1312,U+23ED,,next track button,arrow | next scene | next track | next track button | triangle
1313,U+23EF,,play or pause button,arrow | pause | play | play or pause button | right | triangle
1314,U+25C0,,reverse button,arrow | left | reverse | reverse button | triangle
1315,U+23EA,,fast reverse button,arrow | double | fast reverse button | rewind
1316,U+23EE,,last track button,arrow | last track button | previous scene | previous track | triangle
1317,U+1F53C,,upwards button,arrow | button | red | upwards button
1318,U+23EB,,fast up button,arrow | double | fast up button
1319,U+1F53D,,downwards button,arrow | button | down | downwards button | red
1320,U+23EC,,fast down button,arrow | double | down | fast down button
1321,U+23F8,,pause button,bar | double | pause | pause button | vertical
1322,U+23F9,,stop button,square | stop | stop button
1323,U+23FA,,record button,circle | record | record button
1324,U+23CF,,eject button,eject | eject button
1325,U+1F3A6,,cinema,camera | cinema | film | movie
1326,U+1F505,,dim button,brightness | dim | dim button | low
1327,U+1F506,,bright button,bright | bright button | brightness
1328,U+1F4F6,,antenna bars,antenna | antenna bars | bar | cell | mobile | phone
1329,U+1F4F3,,vibration mode,cell | mobile | mode | phone | telephone | vibration
1330,U+1F4F4,,mobile phone off,cell | mobile | off | phone | telephone
1331,U+2640,,female sign,female sign | woman
1332,U+2642,,male sign,male sign | man
1333,U+2695,,medical symbol,aesculapius | medical symbol | medicine | staff
1334,U+267E,,infinity,forever | infinity | unbounded | universal
1335,U+267B,,recycling symbol,recycle | recycling symbol
1336,U+269C,,fleur-de-lis,fleur-de-lis
1337,U+1F531,,trident emblem,anchor | emblem | ship | tool | trident
1338,U+1F4DB,,name badge,badge | name
1339,U+1F530,,Japanese symbol for beginner,beginner | chevron | Japanese | Japanese symbol for beginner | leaf
1340,U+2B55,,hollow red circle,circle | hollow red circle | large | o | red
1341,U+2705,,check mark button,✓ | button | check | mark
1342,U+2611,,check box with check,✓ | box | check | check box with check
1343,U+2714,,check mark,✓ | check | mark
1344,U+2716,,multiplication sign,× | cancel | multiplication | multiply | sign | x
1345,U+274C,,cross mark,× | cancel | cross | mark | multiplication | multiply | x
1346,U+274E,,cross mark button,× | cross mark button | mark | square | x
1347,U+2795,,plus sign,+ | math | plus | sign
1348,U+2796,,minus sign,- | − | math | minus | sign
1349,U+2797,,division sign,÷ | division | math | sign
1350,U+27B0,,curly loop,curl | curly loop | loop
1351,U+27BF,,double curly loop,curl | double | double curly loop | loop
1352,U+303D,,part alternation mark,mark | part | part alternation mark
1353,U+2733,,eight-spoked asterisk,* | asterisk | eight-spoked asterisk
1354,U+2734,,eight-pointed star,* | eight-pointed star | star
1355,U+2747,,sparkle,* | sparkle
1356,U+203C,,double exclamation mark,! | !! | bangbang | double exclamation mark | exclamation | mark
1357,U+2049,,exclamation question mark,! | !? | ? | exclamation | interrobang | mark | punctuation | question
1358,U+2753,,question mark,? | mark | punctuation | question
1359,U+2754,,white question mark,? | mark | outlined | punctuation | question | white question mark
1360,U+2755,,white exclamation mark,! | exclamation | mark | outlined | punctuation | white exclamation mark
1361,U+2757,,exclamation mark,! | exclamation | mark | punctuation
1362,U+3030,,wavy dash,dash | punctuation | wavy
1363,U+00A9,,copyright,c | copyright
1364,U+00AE,,registered,r | registered
1365,U+2122,,trade mark,mark | tm | trade mark | trademark
1366,U+0023 U+FE0F U+20E3,,keycap: #,keycap
1367,U+002A U+FE0F U+20E3,,keycap: *,keycap
1368,U+0030 U+FE0F U+20E3,,keycap: 0,keycap
1369,U+0031 U+FE0F U+20E3,,keycap: 1,keycap
1370,U+0032 U+FE0F U+20E3,,keycap: 2,keycap
1371,U+0033 U+FE0F U+20E3,,keycap: 3,keycap
1372,U+0034 U+FE0F U+20E3,,keycap: 4,keycap
1373,U+0035 U+FE0F U+20E3,,keycap: 5,keycap
1374,U+0036 U+FE0F U+20E3,,keycap: 6,keycap
1375,U+0037 U+FE0F U+20E3,,keycap: 7,keycap
1376,U+0038 U+FE0F U+20E3,,keycap: 8,keycap
1377,U+0039 U+FE0F U+20E3,,keycap: 9,keycap
1378,U+1F51F,,keycap: 10,keycap
1379,U+1F520,,input latin uppercase,ABCD | input | latin | letters | uppercase
1380,U+1F521,,input latin lowercase,abcd | input | latin | letters | lowercase
1381,U+1F522,,input numbers,1234 | input | numbers
1382,U+1F523,,input symbols,〒♪&% | input | input symbols
1383,U+1F524,,input latin letters,abc | alphabet | input | latin | letters
1384,U+1F170,,A button (blood type),a | A button (blood type) | blood type
1385,U+1F18E,,AB button (blood type),ab | AB button (blood type) | blood type
1386,U+1F171,,B button (blood type),b | B button (blood type) | blood type
1387,U+1F191,,CL button,cl | CL button
1388,U+1F192,,COOL button,cool | COOL button
1389,U+1F193,,FREE button,free | FREE button
1390,U+2139,,information,i | information
1391,U+1F194,,ID button,id | ID button | identity
1392,U+24C2,,circled M,circle | circled M | m
1393,U+1F195,,NEW button,new | NEW button
1394,U+1F196,,NG button,ng | NG button
1395,U+1F17E,,O button (blood type),blood type | o | O button (blood type)
1396,U+1F197,,OK button,OK | OK button
1397,U+1F17F,,P button,P button | parking
1398,U+1F198,,SOS button,help | sos | SOS button
1399,U+1F199,,UP! button,mark | up | UP! button
1400,U+1F19A,,VS button,versus | vs | VS button
